Year,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories including Nunavut,Northwest Territories,Nunavut
1971,530854,112591,797294,642471,6137305,7849027,998876,932038,1665717,2240470,18991,36398,,
1972,539124,113460,802255,648769,6174216,7963117,1001652,920780,1694090,2302086,20143,38771,,
1973,545561,114620,812386,656720,6213149,8075547,1007358,911937,1725327,2367271,21148,40753,,
1974,549604,115962,818751,664744,6268571,8204275,1018206,908457,1754621,2442578,21069,41131,,
1975,556496,117724,826549,677008,6330303,8319795,1024975,917415,1808689,2499564,21908,42849,,
1976,562639,118648,835166,689494,6396761,8413779,1031758,931612,1869287,2533899,22441,44324,,
1977,565348,119902,840028,695843,6433133,8504080,1037369,944621,1948263,2570315,22462,44479,,
1978,567639,121684,844628,699514,6440459,8590144,1040881,952430,2022241,2615162,23157,45264,,
1979,570075,122885,849396,703158,6465996,8662088,1037272,959735,2096966,2665238,22972,45763,,
1980,572759,123735,852659,706219,6505997,8746013,1034435,967548,2191029,2745861,23019,46393,,
1981,575302,123551,854871,706438,6547207,8812286,1035545,975759,2291104,2826558,23880,47414,,
1982,573795,123588,859038,707457,6580631,8920288,1045224,986582,2369827,2876513,24668,49331,,
1983,579164,125102,868289,714842,6602976,9039564,1059752,1001249,2393587,2907502,23664,50760,,
1984,580065,126563,877471,720488,6631220,9167484,1071810,1014615,2393907,2947181,23921,52328,,
1985,579275,127619,885848,723287,6665802,9294657,1082495,1024928,2404490,2975131,24375,54209,,
1986,576306,128436,889087,725019,6708170,9437359,1091552,1028717,2432930,3003621,24430,54651,,
1987,575242,128641,893606,727768,6781984,9637945,1098373,1032799,2440877,3048651,25706,55009,,
1988,574982,129289,897216,730349,6837077,9838620,1102152,1028225,2456614,3114761,26653,55809,,
1989,576551,130153,903841,735129,6925128,10103305,1103792,1019439,2498325,3196725,27167,57226,,
1990,577368,130404,910451,740156,6996986,10295832,1105421,1007727,2547788,3292111,27957,58937,,
1991,579644,130369,914969,745567,7067396,10431316,1109604,1002713,2592306,3373787,28871,60878,38724,22154
1992,580109,130827,919451,748121,7110010,10572205,1112689,1003995,2632672,3468802,30084,62299,39416,22883
1993,579977,132177,923925,748812,7156537,10690038,1117618,1006900,2667292,3567772,30337,63379,39820,23559
1994,574466,133437,926871,750185,7192403,10819146,1123230,1009575,2700606,3676075,29684,64985,40578,24407
1995,567397,134415,928120,750943,7219219,10950119,1129150,1014187,2734519,3777390,30442,66410,41432,24978
1996,559698,135737,931327,752268,7246897,11082903,1134196,1018945,2775133,3874317,31387,67410,41741,25669
1997,550911,136095,932402,752511,7274611,11227651,1136128,1017902,2829848,3948583,31797,67509,41625,25884
1998,539843,135804,931836,750530,7295935,11365901,1137489,1017332,2899066,3983113,31149,67175,40802,26373
1999,533329,136281,933784,750601,7323250,11504759,1142448,1014524,2952692,4011375,30785,67458,40638,26820
2000,527966,136470,933821,750517,7356951,11683290,1147313,1007565,3004198,4039230,30431,67978,40480,27498
2001,522046,136665,932491,749819,7396415,11897370,1151450,1000239,3058084,4076881,30157,68979,40845,28134
2002,519483,136876,935155,749379,7441498,12093299,1156636,996816,3128262,4100161,30337,70516,41694,28822
2003,518445,137221,937676,749434,7485491,12243758,1163528,996431,3182852,4123937,30940,71917,42595,29322
2004,517402,137681,939612,749408,7535278,12390068,1173223,997312,3238387,4155017,31454,73162,43305,29857
2005,514315,138064,937899,748044,7581192,12527990,1178296,993523,3321638,4195764,31899,73740,43401,30339
2006,510584,137865,937869,745609,7631873,12661566,1183524,992302,3421361,4241691,32271,73990,43178,30812
2007,509039,137721,935071,745407,7692736,12764195,1189366,1002048,3514031,4290988,32557,74769,43374,31395
2008,511543,138764,935865,746855,7761504,12882625,1197774,1017346,3595755,4349412,33088,75242,43350,31892
2009,516729,139909,938194,749954,7843475,12997687,1208589,1034782,3679092,4410679,33732,75749,43149,32600
2010,521972,141678,942073,753044,7929365,13135063,1220930,1051425,3732573,4465924,34596,76631,43278,33353
2011,525037,144038,944469,755530,8007656,13263544,1233728,1066349,3790191,4499139,35402,77697,43501,34196
2012,526450,145080,944943,756777,8085906,13413702,1250265,1086018,3880755,4546290,36058,78301,43594,34707
2013,527409,145178,943538,755842,8155505,13556229,1265597,1104990,3996620,4589041,36315,79187,43786,35401
2014,528333,145832,943294,754865,8214503,13685171,1280953,1121285,4108283,4645261,36872,79912,43889,36023
