Year,Newfoundland,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario, Manitoba,Saskatchewan,Alberta,British Columbia,Yukon Territories,Northwest Territories,,,,,,,,
1976,"557,725","118,229","828,571","677,250","6,234,445","8,264,465","1,021,506","921,323","1,838,037","2,466,608","21,836","42,609",,,,,,,,
1971,"522,104","111,641","788,960","634,557","6,027,764","7,703,106","988,247","926,242","1,627,874","2,184,621","18,388","34,807",,,,,,,,
1966,"493,396","108,535","756,039","616,788","5,780,845","6,960,870","963,066","955,344","1,463,203","1,873,674","14,382","28,738",,,,,,,,
1961,"457,853","104,629","737,007","597,936","5,259,211","6,236,092","921,686","925,181","1,331,944","1,629,082","14,628","22,998",,,,,,,,
1956,"415,074","99,285","694,717","554,616","4,628,378","5,404,933","850,040","880,665","1,123,116","1,398,464","12,190","19,313",,,,,,,,
1951,"361,416","98,429","642,584","515,697","4,055,681","4,597,542","776,541","831,728","939,501","1,165,210","9,096","16,004",,,,,,,,
1941,,"95,047","577,962","457,401","3,331,882","3,787,655","729,744","895,992","796,169","817,861","4,914","12,028",,,,,,,,
1931,,"88,038","512,846","408,219","2,874,662","3,431,683","700,139","921,785","731,605","694,263","4,230","9,316",,,,,,,, 
1921,,"88,615","523,837","387,876","2,360,510","2,933,662","610,118","757,510","588,454","524,582","4,157","8,143",,,,,,,,
1911,,"93,728","492,338","351,889","2,005,776","2,527,292","461,394","492,432","374,295","392,480","8,512","6,507",,,,,,,,
1901,,"103,259","459,574","331,120","1,648,898","2,182,947","255,211","91,279","73,022","178,657","27,219","20,129",,,,,,,,
1891,,"109,078","450,396","321,263","1,488,535","2,114,321","152,506",,,"98,173",,"98,967",,,,,,,,
1881,,"108,891","440,572","321,233","1,359,027","1,926,922","62,260",,,"49,459",,"56,446",,,,,,,,
1871,,"94,021","387,800","285,594","1,191,516","1,620,851","25,228",,,"36,247",,"48,000",,,,,,,,
1861,,"80,857","330,857","252,047","1,111,566","1,396,091",,,,"51,524",,"6,691",,,,,,,,
1851,,"62,678","276,854","193,800","890,261","952,004",,,,"55,000",,"5,700",,,,,,,,
