EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Province/Territory,EVENT START DATE,FATALITIES,INJURED/INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY/PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,New Brunswick,NB,2014-07-05,0,0,0,12500000,,,,12500000,,,,,420000,,
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Manitoba,MB,2014-06-25,0,0,560,1.00E+09,,,,,,,1000000000,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,AB,2014-06-15,0,0,500,0,,,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,British Columbia,BC,2014-06-01,0,0,4500,3.00E+08,,2014-09-30,,,300000000,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northwest Territories,NT,2014-06-01,0,0,100,5.50E+07,,2014-09-18,,,55000000,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick,NB,2014-04-14,0,0,1495,1.60E+07,,,,1.60E+07,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,QC,2014-04-14,0,0,1000,0,,,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Winter Storm,New Brunswick,NB,2013-12-22,0,0,0,0,,,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Québec,QC,2013-12-21,6,,0,0,,2013-12-26,,,,,,,,153000,
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Ontario,ON,2013-12-21,2,25,0,164200000,,,,4200000,160000000,,,,2490000,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Toronto, Ontario",ON,2013-07-08,0,0,0,9.40E+08,,2013-07-08,,,,,,940000000,,300000,
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,AB,2013-06-19,4,0,100000,2.20E+09,,2013-06-28,500000000,,,,,1700000000,,,
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southeast British Columbia,BC,2013-06-19,0,0,200,0,,2013-06-21,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Kasabonika Lake First Nation, Ontario",ON,2013-05-27,0,0,150,0,,2013-05-31,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Cumberland House, SK",SK,2013-04-29,0,0,3000,2.00E+07,,,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Vita, Manitoba",MB,2012-10-02,,,200,0,,2012-10-03,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Lethbridge and Coalhurst, Alberta",AB,2012-09-01,0,0,2500,0,,2012-09-11,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Peachland, British Columbia",BC,2012-09-09,0,0,1550,0,,2012-09-12,0,0,,,,,,,
Disaster,Natural,Biological,Epidemic,Quebec City,QC,2012-07-31,13,180,0,0,,2012-10-10,0,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Sandy Lake First Nation, Ontario",ON,2012-07-31,0,0,637,0,,2012-08-06,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Island Lake and Garden Hill, Manitoba",MB,2012-07-23,0,0,1428,0,,2012-08-01,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Mackenzie County, Alberta",AB,2012-07-11,0,0,300,,,2012-07-20,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Northwest River and Sheshatshiu, Newfoundland and Labrador",NL,2012-06-24,0,0,1100,0,,2012-06-25,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Sheshatshiu, Newfoundland Labrador",NL,2012-06-23,,,1100,,,2012-06-25,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Sicamous, BC",BC,2012-06-23,,,350,0,,,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Upper Liard, Yukon, Nahanni Butte, Northwest Territories, and Lower Post British Columbia",BC YT NT,2012-06-06,0,0,137,0,,,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Thunder Bay,,2012-05-28,0,0,0,0,,2012-05-28,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Timmins, Ontario",ON,2012-05-24,0,0,1000,0,,2012-06-07,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,Kirkland Lake,,2012-05-20,0,0,300,0,,2012-05-29,0,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Kashechewan and Fort Albany, Ontario",ON,2012-03-24,0,0,269,6700000,,2012-04-01,,,,,6700000,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Fort Albany and Kashechewan First Nations, Ontario",ON,2012-03-24,,,250,,,2012-03-25,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Perth-Andover, NB",NB,2012-03-19,,,500,,,2012-03-25,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,"Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia and Prince Edward Island",QC NB NS PE NL,2011-08-28,2,,300,137800000,109642368.6,2011-08-30,,,,,,137800000,,1169000,
Disaster,Natural,Meteorological - Hydrological,Tornado,Goderich ON,ON,2011-08-21,,,,,,2011-08-22,,,,,,,,8000,
Disaster,Natural,Meteorological - Hydrological,Flood,"Eckville, Lacombe, Paddle River, Fort Vermilion, and Peace River AB",AB,2011-07-12,0,0,156,,,2011-07-14,,,,,,,,700,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northern Ontario,ON,2011-07-06,0,0,3292,,,2011-07-25,,,,,,,,1896,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Mishkeegogamang Ojibway First Nation (New Osnaburgh), Northern ON",ON,2011-06-21,,,423,,,2011-06-27,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Weyburn and Estavan SK,SK,2011-06-17,0,0,383,,,2011-06-28,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,Hall Lake SK,SK,2011-06-12,0,0,440,,,2011-06-14,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Dauphin Lake, Souris River, Assiniboine River, Pipestone Creek, Oak Lake, Plum Lakes, Plum Creek, and the Qu'Appelle River MB",MB,2011-06-02,0,0,3024,,,2011-07-09,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,Wollaston Lake SK,SK,2011-06-02,0,0,1137,0,0,2011-06-09,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Calgary AB,AB,2011-05-29,0,0,141,,,2011-05-31,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Brandon MB,MB,2011-05-10,0,0,3623,,,2011-05-28,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Towns of Slave Lake, High Prairie, Little Buffalo, Lesser Slave Lake, Municipal Districts of Lesser Slave River, Red Earth Creek, and Loon Lake Whitefish Atikameg, and Woodland Cree First Nations AB",AB,2011-05-01,,,12055,7.00E+08,556964136.8,2011-05-22,,,,,,700000000,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Saint-Jean-sur-Richelieu (Richelieu River) QC,QC,2011-04-22,0,0,1619,,,2011-06-15,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Assiniboine, Roseau and Red Rivers MB",MB,2011-04-19,0,0,2543,3.50E+08,278482068.4,2011-06-17,350000000,,,,,,,,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Lambton County ON,ON,2010-12-13,1,1,237,,,2010-12-13,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick and Nova Scotia,NB NS,2010-12-13,0,0,0,5.00E+06,4094420.6,2010-12-13,5000000,,,,,,,80000,0
Disaster,Natural,Meteorological - Hydrological,Flood,Gaspé and Bonaventure QC,QC,2010-12-05,0,0,125,,,2010-12-15,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Yarmouth County NS,NS,2010-11-08,0,0,100,,,2010-11-08,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Yarmouth and Halifax NS,NS,2010-11-07,,,390,,,2010-11-14,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Kingcome Inlet and Bella Coola BC,BC,2010-09-24,,,175,,,2010-09-25,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Newfoundland and Labrador,NL,2010-09-21,1,0,300,5.10E+07,41763090.1,2010-09-21,51000000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Liverpool NS,NS,2010-09-04,,,,,,2010-09-04,,,,,,,,200000,
Disaster,Natural,Meteorological - Hydrological,Flood,Meat Cove NS,NS,2010-08-22,0,0,130,,,2010-08-22,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Williams Lake, Chilcotin, Houston, Burns Lake and Fraser Lake BC",BC,2010-07-28,2,0,,2.20E+08,180154506.4,2010-09-08,,,220000000,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,North Battleford SK,SK,2010-07-22,0,0,45,,,2010-07-22,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,"Calgary, Alberta",AB,2010-07-12,0,0,0,4.00E+08,327553648.1,2010-07-12,,,,,,400000000,,,
Disaster,Natural,Meteorological - Hydrological,Tornado,Kawacatoose First Nation SK,SK,2010-07-02,0,0,,358000,293160.5,2010-07-02,,,,,358000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Midland ON,ON,2010-06-23,0,12,0,1.60E+07,13102145.9,2010-06-23,,,1000000,,,15000000,,0,0
Disaster,Natural,Geological,Earthquake,Val-des-Bois and Gracefield QC,QC,2010-06-23,0,0,0,,,2010-06-23,,,,,,,,900,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta and Saskatchewan,AB SK,2010-06-17,0,0,2065,956350000,783139828.3,2010-06-17,,,206350000,,750000000,,,0,0
